keyword,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,tot_cnt
우리나라,6.0,2.0,1.0,16.0,8.0,8.0,9.0,6.0,9.0,7.0,14.0,4.0,6.0,4.0,5.0,6.0,8.0,11.0,3.0,11.0,4.0,3.0,7.0,11.0,6.0,8.0,6.0,15.0,23.0,20.0,10.0,17.0,11.0,21.0,13.0,10.0,329.0
국제회,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
세계동물보건기구,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
식품부,2.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,3.0,6.0,3.0,0.0,4.0,0.0,2.0,5.0,3.0,1.0,0.0,4.0,3.0,1.0,2.0,5.0,1.0,1.0,5.0,6.0,8.0,3.0,4.0,5.0,8.0,14.0,4.0,11.0,122.0
사무총장,2.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,47.0
경기도,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,45.0
폐사체,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
양돈농가,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
일본,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,4.0,6.0,3.0,7.0,3.0,4.0,6.0,8.0,7.0,77.0
국제기구,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,43.0
불가리아,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
방역조치,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
직불금,2.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,9.0,2.0,2.0,6.0,9.0,5.0,2.0,5.0,2.0,5.0,0.0,1.0,78.0
